area,year,type,Total All Jobs,Age 29 or younger,Age 30 to 54,Age 55 or older,"$1,250 per month or less","$1,251 to $3,333 per month","More than $3,333 per month","Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,"Administration & Support, Waste Management and Remediation",Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (excluding Public Administration),Public Administration,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,Not Hispanic or Latino,Hispanic or Latino,Less than high school,"High school or equivalent, no college",Some college or Associate degree,Bachelor's degree or advanced degree,Educational attainment not available (workers aged 29 or younger),Male,Female
work,2004,Share,1,0.206354528,0.633851082,0.15979439,0.225276567,0.396394383,0.37832905,0,0.002048646,0.000670466,0.084478713,0.074905949,0.043058815,0.077327076,0.040563191,0.08138712,0.048348046,0.019741498,0.041904123,0.012329124,0.087160577,0.028494804,0.171266808,0.002942601,0.041680635,0.033188066,0.108503743,,,,,,,,,,,,,,,
work,2003,Count,26397,5661,16729,4007,5767,10582,10048,0,77,21,2333,2573,1174,2209,1139,2176,1565,491,1382,318,1933,657,3294,157,1119,646,3133,,,,,,,,,,,,,,,
work,2003,Share,1,0.214456188,0.633746259,0.151797553,0.218471796,0.400878888,0.380649316,0,0.002916998,0.000795545,0.088381255,0.097473198,0.044474751,0.083683752,0.043148843,0.08243361,0.05928704,0.018600599,0.052354434,0.012046824,0.073228018,0.024889192,0.124786908,0.005947646,0.042391181,0.024472478,0.11868773,,,,,,,,,,,,,,,
work,2002,Count,27236,6091,17286,3859,6171,11721,9344,0,83,5,2306,2629,1142,2252,1290,2156,2379,646,1340,246,2076,607,3263,51,1042,669,3054,,,,,,,,,,,,,,,
work,2002,Share,1,0.223637832,0.634674695,0.141687472,0.226575121,0.430349537,0.343075341,0,0.003047437,0.000183581,0.084667352,0.096526656,0.041929799,0.082684682,0.047363783,0.079159935,0.087347628,0.023718608,0.049199589,0.009032163,0.076222646,0.022286679,0.11980467,0.001872522,0.038258188,0.024563078,0.112131003,,,,,,,,,,,,,,,
home,2020,Count,23637,5886,12688,5063,7138,8284,8215,123,2,95,933,947,746,2715,1682,278,1718,335,1020,330,2291,1509,5262,395,1830,604,822,9762,12908,127,389,24,427,19982,3655,3068,5347,5602,3734,5886,10661,12976
home,2020,Share,1,0.249016373,0.536785548,0.214198079,0.301984177,0.350467487,0.347548335,0.005203706,8.46131E-05,0.004019123,0.039472014,0.040064306,0.031560689,0.114862292,0.071159623,0.011761222,0.072682659,0.014172695,0.043152684,0.013961163,0.096924314,0.063840589,0.222617083,0.016711089,0.077420993,0.025553158,0.034775987,0.412996573,0.54609299,0.005372932,0.016457249,0.001015357,0.018064898,0.845369548,0.154630452,0.129796505,0.22621314,0.237001312,0.15797267,0.249016373,0.451030165,0.548969835
home,2019,Count,25181,6542,13456,5183,7001,9797,8383,102,3,82,1102,986,742,2966,1641,336,1718,290,1103,279,2523,1599,5263,531,2347,713,855,10366,13784,125,424,26,456,21513,3668,3141,5578,5972,3948,6542,11505,13676
home,2019,Share,1,0.259799055,0.534371153,0.205829792,0.278027084,0.389063183,0.332909734,0.004050673,0.000119137,0.003256423,0.043763155,0.039156507,0.029466661,0.117787221,0.065168182,0.013343394,0.068226043,0.01151662,0.043802867,0.011079782,0.100194591,0.063500258,0.209006791,0.021087328,0.093205194,0.028314999,0.033954172,0.411659585,0.547396847,0.00496406,0.016838092,0.001032525,0.018108892,0.854334617,0.145665383,0.124736905,0.221516223,0.23716294,0.156784877,0.259799055,0.456892101,0.543107899
home,2018,Count,25577,6624,13821,5132,7351,10121,8105,102,2,75,1078,882,711,3101,1473,361,1849,345,1127,273,2694,1397,5543,434,2483,724,923,10509,14028,140,433,23,444,21892,3685,3207,5676,6076,3994,6624,11564,14013
home,2018,Share,1,0.25898268,0.5403683,0.200649021,0.287406654,0.395707081,0.316886265,0.003987958,7.81953E-05,0.002932322,0.042147242,0.034484107,0.027798413,0.121241741,0.057590804,0.014114243,0.072291512,0.013488681,0.044063025,0.010673652,0.105329007,0.054619385,0.216718145,0.01696837,0.097079407,0.028306682,0.03608711,0.41087696,0.548461508,0.005473668,0.016929272,0.000899245,0.017359346,0.855925245,0.144074755,0.125386089,0.22191813,0.23755718,0.156155921,0.25898268,0.452124956,0.547875044
home,2017,Count,24951,6274,13613,5064,7346,9843,7762,110,4,75,1067,917,722,3199,1265,356,1842,343,1192,318,2554,1428,5241,408,2294,716,900,10275,13612,159,441,24,440,21440,3511,2968,5559,6038,4112,6274,11538,13413
home,2017,Share,1,0.251452848,0.545589355,0.202957797,0.294417057,0.394493207,0.311089736,0.004408641,0.000160314,0.003005892,0.042763817,0.036752034,0.028936716,0.128211294,0.050699371,0.014267965,0.073824696,0.013746944,0.047773636,0.01274498,0.102360627,0.057232175,0.210051701,0.01635205,0.091940203,0.028696245,0.036070699,0.411807142,0.545549277,0.00637249,0.017674642,0.000961885,0.017634564,0.859284197,0.140715803,0.118953148,0.222796681,0.241994309,0.164803014,0.251452848,0.462426356,0.537573644
home,2016,Count,24970,6565,13577,4828,7452,9981,7537,104,3,61,967,948,756,3034,1333,333,2024,325,1106,329,2411,1378,5344,418,2400,717,979,10241,13717,146,441,30,395,21558,3412,2881,5427,5977,4120,6565,11345,13625
home,2016,Share,1,0.262915499,0.543732479,0.193352022,0.298438126,0.399719664,0.301842211,0.004164998,0.000120144,0.002442932,0.038726472,0.037965559,0.030276332,0.121505807,0.053384061,0.013336003,0.081057269,0.013015619,0.044293152,0.013175811,0.096555867,0.055186223,0.21401682,0.016740088,0.096115338,0.028714457,0.039207048,0.410132159,0.549339207,0.005847016,0.017661193,0.001201442,0.015818983,0.863356027,0.136643973,0.115378454,0.217340809,0.239367241,0.164997998,0.262915499,0.454345214,0.545654786
home,2015,Count,24144,6368,13211,4565,7408,9532,7204,125,7,78,938,965,712,2923,1456,338,2011,300,1089,240,2296,1435,4855,464,2238,717,957,10817,12485,96,376,17,353,21207,2937,2869,5133,5746,4028,6368,10958,13186
home,2015,Share,1,0.263750828,0.547175282,0.18907389,0.306825712,0.394797879,0.298376408,0.00517727,0.000289927,0.003230616,0.038850232,0.039968522,0.029489728,0.121065275,0.060304838,0.013999337,0.083291915,0.012425447,0.045104374,0.009940358,0.09509609,0.059435056,0.201085156,0.019218025,0.092693837,0.029696819,0.039637177,0.448020212,0.517105699,0.003976143,0.015573227,0.000704109,0.01462061,0.878354871,0.121645129,0.118828694,0.212599404,0.237988734,0.166832339,0.263750828,0.453860172,0.546139828
home,2014,Count,23048,6001,12550,4497,7027,9098,6923,113,4,84,901,974,599,2999,1137,359,1700,287,1133,242,2042,1563,4767,446,2016,686,996,10534,11770,85,348,25,286,20249,2799,2576,4909,5575,3987,6001,10480,12568
home,2014,Share,1,0.260369663,0.544515793,0.195114544,0.304885456,0.394741409,0.300373134,0.004902812,0.000173551,0.003644568,0.039092329,0.042259632,0.02598924,0.13011975,0.049331829,0.015576189,0.073759111,0.012452274,0.049158278,0.010499826,0.088597709,0.067814995,0.206829226,0.01935092,0.087469629,0.029763971,0.043214162,0.457046165,0.510673377,0.003687956,0.015098924,0.001084693,0.012408886,0.878557792,0.121442208,0.111766748,0.212990281,0.241886498,0.17298681,0.260369663,0.454703228,0.545296772
home,2013,Count,22462,5690,12629,4143,6620,9362,6480,146,2,79,809,1007,624,2832,1117,414,1796,296,1173,264,2042,1425,4531,313,1907,757,928,10121,11583,96,358,11,293,19673,2789,2509,4844,5472,3947,5690,10208,12254
home,2013,Share,1,0.253316713,0.562238447,0.18444484,0.294719972,0.416792806,0.288487223,0.006499866,8.90393E-05,0.003517051,0.036016383,0.044831271,0.027780251,0.126079601,0.04972843,0.018431128,0.079957261,0.013177811,0.05222153,0.011753183,0.090909091,0.063440477,0.201718458,0.013934645,0.08489894,0.033701362,0.04131422,0.450583207,0.515670911,0.004273885,0.015938029,0.000489716,0.013044253,0.875834743,0.124165257,0.11169976,0.215653103,0.243611433,0.175718992,0.253316713,0.454456415,0.545543585
home,2012,Count,21721,5589,12264,3868,6384,9167,6170,144,3,72,769,952,676,2845,933,433,1704,286,1109,276,1879,1433,4343,326,1831,790,917,9827,11164,80,365,16,269,19068,2653,2424,4611,5248,3849,5589,9771,11950
home,2012,Share,1,0.257308595,0.564614889,0.178076516,0.29390912,0.422033976,0.284056903,0.006629529,0.000138115,0.003314765,0.035403527,0.043828553,0.031121956,0.130979237,0.042953823,0.019934625,0.078449427,0.013166981,0.051056581,0.012706597,0.086506146,0.065973021,0.199944754,0.015008517,0.084296303,0.036370333,0.042217209,0.452419318,0.513972653,0.003683072,0.016804015,0.000736614,0.012384329,0.877860135,0.122139865,0.111597072,0.212283044,0.241609502,0.177201786,0.257308595,0.449841168,0.550158832
home,2011,Count,22170,5754,12552,3864,6445,9776,5949,142,4,79,900,1023,623,2729,1018,463,1803,308,1130,315,1881,1370,4468,318,1884,716,996,10200,11203,90,354,23,300,19425,2745,2409,4672,5476,3859,5754,9909,12261
